Наименование эмитента; ИНН эмитента; Государственный регистрационный номер выпуска; Дата государственной регистрации выпуска; Вид ценной бумаги (государственная облигация, облигация, акция, биржевая облигация, пай); Торговая площадка; ИНН торговой площадки; Код ЦБ на торговой площадке; ISIN; Оставшаяся непогашенной часть номинала ЦБ; Валюта номинала; Дата погашения ЦБ; Размер государственных гарантий по ценной бумаге (для ипотечных ценных бумаг); Дата начала размещения выпуска; Дата окончания размещения выпуска; Дата регистрации отчета об итогах выпуска; Рыночная цена, рассчитываемая в соответствии с постановлением ФСФР №10-65/пз-н от 09.11.2010г.; Рыночная цена, рассчитываемая в соответствии с (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Признаваемая котировка ЦБ (Постановление ФСФР № 05-21/пз-н от 15.06.2005); Рыночная стоимость всех ЦБ данного выпуска (Постановление ФСФР №10-65/пз-н от 09.11.2010г.); НКД; Объем сделок, по которым был произведен расчет рыночной цены ценной бумаги (Приказ ФСФР от 26.12.2006 N 06-155/пз-н); Минимальная цена рыночной сделки; Максимальная цена рыночной сделки; Средневзвешенная цена; Доходность к погашению; Отчетная дата; Дата предоставления информации; Режим торгов; Количество ценных бумаг в выпуске; Количество размещенных ценных бумаг выпуска; Общий объем эмиссии в валюте номинала; Цена последней сделки; Цена закрытия; Дюрация, дней; Цена спроса на момент окончания торговой сессии; Дата ближайшей оферты по облигациям
ВымпелКБО3;7713076301;4B02-03-00027-A;11.09.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVUP7;RU000A0JVUP7;1000;RUR;03.10.2025;0;16.10.2015;03.10.2025;16.10.2015;1023,4000000000001;1023,4000000000001;1020;15351000000,000001;47,27;89829737;1020;1020;1020;10,16;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;1020;1020;371;1021;18.10.2017
КрЕврБ-Б10;7705148464;4B021003311B;28.11.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVUR3;RU000A0JVUR3;1000;RUR;22.10.2018;0;19.10.2015;22.10.2018;19.10.2015;1005;0;978,9;4020000000;53,63;0;960;989,4;978,9;34,11;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;989,4;978,9;47;980;27.10.2016
РЕСОЛизБ03;7709431786;4B02-03-36419-R;26.09.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVUS1;RU000A0JVUS1;1000;RUR;03.10.2025;0;16.10.2015;03.10.2025;16.10.2015;1000;0;1000;3000000000;54,62;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1000;37;643,1;18.10.2016
ТулОбл2015;7107030748;RU34004TUL0;12.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVUW3;RU000A0JVUW3;900;RUR;15.05.2019;0;20.10.2015;;20.10.2015;938,52;938,16;940,5;4692600000;12,33;3380135,49;929,6999999999999;940,5;940,41;9,54;07.09.2016;08.09.2016;EQOB;5000000;5000000;4500000000;940,5;940,5;551;933,75;
ИКС5ФинБО4;7715630469;4B02-04-36241-R;22.04.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVUX1;RU000A0JVUX1;1000;RUR;11.10.2022;0;20.10.2015;11.10.2022;20.10.2015;0;0;1000;0;45,97;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;974,5;18.04.2019
ДельтКрБО8;7705285534;4B020803338B;29.03.2012;об;ОАО Московская Биржа;7703507076;RU000A0JVUY9;RU000A0JVUY9;1000;RUR;20.10.2025;0;20.10.2015;20.10.2025;20.10.2015;1053;0;1056,3;5265000000;47,56;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1056,3;812;1055;24.04.2019
МагнитБО11;2309085638;4B02-11-60525-P;30.07.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVUZ6;RU000A0JVUZ6;1000;RUR;18.04.2017;0;20.10.2015;13.10.2020;20.10.2015;1013;0;1012,9000000000001;10130000000;45,2;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1012,9000000000001;213;1007,0999999999999;18.04.2017
Мордовия02;1300050318;RU34002MOR0;16.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVV49;RU000A0JVV49;1000;RUR;14.10.2020;0;21.10.2015;;21.10.2015;1071,7;1071,7;1072,9;3215100000;18,46;1755445,3;1067,1;1074,8999999999998;1071,7;10,86;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;1074,8999999999998;1072,9;786;1070,1000000000001;
РОСНАНО 6;7728131587;4-06-55477-E;27.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVVA7;RU000A0JVVA7;1000;RUR;13.10.2022;0;22.10.2015;13.10.2022;22.10.2015;1086;0;1090;9774000000;47,6;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;9000000;9000000;9000000000;0;1090;1581;981,1;
МегафонБО5;7812014560;4B02-05-00822-J;27.06.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVVB5;RU000A0JVVB5;1000;RUR;10.10.2025;0;23.10.2015;10.10.2025;23.10.2015;1021,3;0;1021;15319500000;43,1;0;1021;1021;1021;9,57;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;1021;1021;380;1015;24.10.2017
СМП БО-01;7750005482;4B020103368B;08.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVK6;RU000A0JVVK6;1000;RUR;10.10.2025;0;23.10.2015;10.10.2025;23.10.2015;0;0;0;0;13,78;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;0;0;0;19.10.2018
ПЕРЕСВ БП2;7703074601;4B020202110B001P;20.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVL4;RU000A0JVVL4;1000;RUR;16.10.2020;0;23.10.2015;16.10.2020;23.10.2015;999,0999999999999;0;999;3496849999,9999995;51,04;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3500000;3500000;3500000000;0;999;664;997,5;24.10.2018
СМП БО-02;7750005482;4B020203368B;08.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVP5;RU000A0JVVP5;1000;RUR;13.10.2025;0;26.10.2015;13.10.2025;26.10.2015;0;0;0;0;12,9;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;0;0;0;22.10.2018
РГСНдвБOП1;7714311519;4B02-01-36440-R-001P;07.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVQ3;RU000A0JVVQ3;1000;RUR;19.10.2020;0;26.10.2015;19.10.2020;26.10.2015;1000,4000000000001;0;1000,4000000000001;5002000000;49,93;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000,4000000000001;47;0;27.10.2016
Волгогр 08;3444059139;RU34008VGG1;13.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVR1;RU000A0JVVR1;1000;RUR;19.10.2020;0;26.10.2015;;26.10.2015;1069,3000000000001;1069,3000000000001;1070;1069300000,0000002;9,78;583812,4;1069,8;1070;1069,8999999999998;10,85;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;1070;1070;787;1068,8;
Башкор10об;0274033209;RU34010BAS0;13.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVS9;RU000A0JVVS9;1000;RUR;24.10.2017;0;27.10.2015;;;1019,4;0;1008;3567900000;14,08;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3500000;3500000;3500000000;0;1008;273;1008;
СМП БО-03;7750005482;4B020303368B;08.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVVT7;RU000A0JVVT7;1000;RUR;14.10.2025;0;27.10.2015;14.10.2025;27.10.2015;0;0;0;0;12,61;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;0;0;0;23.10.2018
СилМашБО-1;7702080289;4B02-01-35909-H;16.07.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVVV3;RU000A0JVVV3;1000;RUR;15.10.2025;0;28.10.2015;15.10.2025;28.10.2015;1042,1;1042;1059,8999999999998;5210500000;44,82;46397367,4;1044;1059,8999999999998;1044;10,19;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1059,8999999999998;1059,8999999999998;680;1047;31.10.2018
СилМашБО-2;7702080289;4B02-02-35909-H;16.07.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVVW1;RU000A0JVVW1;1000;RUR;15.10.2025;0;28.10.2015;15.10.2025;28.10.2015;1046,2;1046,3;1060;5231000000;44,82;18866822,4;1060;1060;1060;9,33;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1060;1060;681;1045;31.10.2018
ПГК 02;7725806898;4-02-55521-E;28.07.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVW22;RU000A0JVW22;1000;RUR;15.10.2025;0;28.10.2015;15.10.2025;28.10.2015;0;0;1000;0;43,73;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;0;951;29.10.2019
ДиджИнвБ01;7722613390;4B02-01-36467-R;14.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVW55;RU000A0JVW55;1000;RUR;22.10.2020;0;29.10.2015;22.10.2020;29.10.2015;1001,4;1001,5;1001,5;5007000000;48,82;5247598;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1001,5;50;999;01.11.2016
РЖД БО-02;7708503727;4B02-02-65045-D;20.11.2009;об;ОАО Московская Биржа;7703507076;RU000A0JVW71;RU000A0JVW71;1000;RUR;16.10.2025;0;29.10.2015;16.10.2025;29.10.2015;0;0;1000,3;0;40,5;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;15000000;15000000;15000000000;0;1000,3;0;947;30.04.2020
ДельтКрБ19;7705285534;4B021903338B;02.02.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWA5;RU000A0JVWA5;1000;RUR;30.10.2025;0;30.10.2015;30.10.2025;30.10.2015;1018,5;0;1021,5;5092500000;42,74;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1021,5;388;970;01.11.2017
РСХБ БО9;7725114488;4B020903349B;11.02.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVWB3;RU000A0JVWB3;1000;RUR;17.10.2025;0;30.10.2015;17.10.2025;30.10.2015;1020;0;1025;10200000000;12,82;0;1021,3;1025;1021,3;10,05;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;1025;1025;390;1015,5;31.10.2017
НЛМК БО-08;4823006703;4B02-08-00102-A;27.12.2012;об;ОАО Московская Биржа;7703507076;RU000A0JVWC1;RU000A0JVWC1;1000;RUR;16.10.2025;0;29.10.2015;16.10.2025;29.10.2015;1015,6;0;1015;5078000000;40,14;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;5000000;10000000000;0;1015;386;981,1;30.10.2017
ГТЛК БО-05;7720261827;4B02-05-32432-H;04.09.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWD9;RU000A0JVWD9;1000;RUR;17.10.2025;0;30.10.2015;17.10.2025;30.10.2015;1005;1005;1005,4000000000001;4020000000;15,34;3206968,5;1005;1005,4000000000001;1005;10,67;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;1005,4000000000001;1005,4000000000001;51;1005;02.11.2016
ЕврфНедвБ1;7705649816;4B02-01-36380-R;15.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWE7;RU000A0JVWE7;1000;RUR;23.10.2020;0;30.10.2015;23.10.2020;30.10.2015;1000;0;1000;2000000000;12,05;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;1000;51;0;08.11.2016
ГТЛК БО-06;7720261827;4B02-06-32432-H;04.09.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWJ6;RU000A0JVWJ6;1000;RUR;20.10.2025;0;02.11.2015;20.10.2025;02.11.2015;1079;1079;1079;4316000000;14,95;17589619,6;1075;1079;1076,8000000000001;11,12;07.09.2016;08.09.2016;EQOB;4000000;4000000;4000000000;1079;1079;680;1077,6000000000001;01.11.2018
СберБ об 1;7707083893;40701481B;26.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWL2;RU000A0JVWL2;1000;RUR;02.01.2026;0;24.12.2015;02.01.2026;02.11.2015;0;0;0;0;43,03;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;18500000;18500000;18500000000;0;0;0;600,3;
КрасЯрКр11;2460071533;RU34011KNA0;23.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWM0;RU000A0JVWM0;1000;RUR;29.10.2019;0;03.11.2015;;;1056,4;0;1041,1;4489700000;11,54;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;4250000;4250000;4250000000;0;1041,1;968;1041,1;
МЕТАЛИНБ01;7705392230;4B02-01-25642-H;23.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVWN8;RU000A0JVWN8;1000;RUR;21.10.2025;0;03.11.2015;21.10.2025;03.11.2015;0;0;1000;0;41,23;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1000;0;980;29.10.2019
ПГК 03;7725806898;4-03-55521-E;28.07.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVWT5;RU000A0JVWT5;1000;RUR;23.10.2025;0;05.11.2015;23.10.2025;05.11.2015;0;0;1030;0;40,41;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1030;0;1060;06.11.2020
ДиджИнвБ02;7722613390;4B02-02-36467-R;14.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVX62;RU000A0JVX62;1000;RUR;03.11.2020;0;10.11.2015;03.11.2020;10.11.2015;1001,4;1001,5;1001,5;5007000000;44,38;5207540;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1001,5;62;999;11.11.2016
Магнит1P01;2309085638;4B02-01-60525-P-001P;05.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVXM8;RU000A0JVXM8;1000;RUR;10.05.2017;0;11.11.2015;10.05.2017;11.11.2015;1011;1009,9;1010;10110000000;36,52;9458721,6;1010;1010;1010;9,81;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;1010;1010;235;1010;
РЕСОЛизБ04;7709431786;4B02-04-36419-R;26.09.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVXS5;RU000A0JVXS5;1000;RUR;30.10.2025;0;12.11.2015;30.10.2025;12.11.2015;1000;0;1000;3000000000;42,84;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1000;395;613;13.11.2017
ФинИнв 01;7716637001;4-01-00219-R;16.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVXW7;RU000A0JVXW7;1000;RUR;09.11.2018;0;13.11.2015;09.11.2018;13.11.2015;0;0;1000;0;48,08;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;500000;500000;500000000;0;1000;0;0;16.11.2016
ПЕРЕСВ БП3;7703074601;4B020302110B001P;10.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVXX5;RU000A0JVXX5;1000;RUR;06.11.2020;0;13.11.2015;06.11.2020;13.11.2015;0;0;0;0;42,47;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1000000;1000000;1000000000;0;0;0;601,3000000000001;17.05.2017
СистемБ1P2;7703104630;4B02-02-01669-A-001P;10.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVXZ0;RU000A0JVXZ0;1000;RUR;31.10.2025;0;13.11.2015;31.10.2025;13.11.2015;0;0;0;0;34,94;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1700000;1700000;1700000000;0;0;0;0;13.11.2019
ПраймФ БО1;7706687807;4B02-01-36424-R;10.12.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVYD5;RU000A0JVYD5;1000;RUR;10.11.2025;0;23.11.2015;10.11.2025;23.11.2015;1000;1000;1000;5000000000;38,11;502000;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1000;75;0;24.11.2016
Акрон БО-2;5321029508;4B02-02-00207-A;07.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JVYE3;RU000A0JVYE3;1000;RUR;20.11.2018;0;24.11.2015;20.11.2018;24.11.2015;1013,4000000000001;1013,4000000000001;1013,1999999999999;5067000000;33,69;142969965;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1013,1999999999999;248;1007,2;26.05.2017
Акрон БО-3;5321029508;4B02-03-00207-A;07.06.2012;об;ОАО Московская Биржа;7703507076;RU000A0JVYF0;RU000A0JVYF0;1000;RUR;20.11.2018;0;24.11.2015;20.11.2018;24.11.2015;1013;0;1013;5065000000;33,69;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1013;248;1004;26.05.2017
РОСЭКСИМБ1;7704001959;40102790B;11.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVYG8;RU000A0JVYG8;1000;RUR;11.11.2025;0;24.11.2015;11.11.2025;24.11.2015;1003,4000000000001;1003,4000000000001;1003,4000000000001;5017000000;35,14;100342005;1003,4000000000001;1003,4000000000001;1003,4000000000001;10,49;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1003,4000000000001;1003,4000000000001;76;1002;25.11.2016
МРСКЦенБО3;6901067107;4B02-03-10214-A;25.06.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVYH6;RU000A0JVYH6;1000;RUR;11.11.2025;0;24.11.2015;11.11.2025;24.11.2015;0;0;0;0;34,27;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;0;0;600,3;21.11.2017
РусфинБО-4;5012003647;4B020401792B;29.03.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVYJ2;RU000A0JVYJ2;1000;RUR;24.11.2020;0;24.11.2015;24.11.2020;24.11.2015;1006;0;1003,6;3018000000;34,27;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1003,6;78;985,1;29.11.2016
КубнЭн1P02;2309001660;4B02-02-00063-A-001P;10.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVYK0;RU000A0JVYK0;1000;RUR;11.11.2025;0;27.11.2015;11.11.2025;27.11.2015;0;0;0;0;36,68;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3400000;3400000;3400000000;0;0;0;600,3;19.11.2019
МРСКЦенБО4;6901067107;4B02-04-10214-A;25.06.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVYL8;RU000A0JVYL8;1000;RUR;11.11.2025;0;24.11.2015;11.11.2025;24.11.2015;0;0;0;0;33,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;0;0;600,3;19.11.2019
МРСКУр Б02;6671163413;4B02-02-32501-D;31.05.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVYM6;RU000A0JVYM6;1000;RUR;11.11.2025;0;24.11.2015;27.11.2015;26.11.2015;0;0;0;0;33,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;1600000;3000000000;0;0;0;600,3;19.11.2019
ОГК2 Б1P1R;2607018122;4B02-01-65105-D-001P;18.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVYN4;RU000A0JVYN4;1000;RUR;17.11.2020;0;24.11.2015;24.11.2020;24.11.2015;1026;0;1026;5130000000;33,4;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1026;566;1020,5;
ОГК2 Б1P2R;2607018122;4B02-02-65105-D-001P;18.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVYP9;RU000A0JVYP9;1000;RUR;17.11.2020;0;24.11.2015;24.11.2020;24.11.2015;1028,5;1028,5;1028,5;5142500000;33,4;16869452;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1028,5;566;1020,5;
РоссетиБО5;7728662669;4B02-05-55385-E;28.04.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVZ94;RU000A0JVZ94;1000;RUR;14.11.2025;0;27.11.2015;14.11.2025;27.11.2015;0;0;1000;0;31,75;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1000;0;920,1999999999999;22.11.2019
РОССИУМ Б1;5032152372;4B02-01-36479-R;19.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZA8;RU000A0JVZA8;1000;RUR;14.11.2025;0;27.11.2015;14.11.2025;27.11.2015;1002,8;0;1004,5;20056000000;38,1;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;20000000;20000000;20000000000;0;1004,5;79;1001;01.12.2017
ДелоПортс1;7706420120;4-01-36485-R;20.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZB6;RU000A0JVZB6;1000;RUR;14.11.2025;0;27.11.2015;14.11.2025;27.11.2015;1038,5;1037,1;1035,9;3115500000;38,94;16324033;1035,5;1038;1035,9;12,23;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;1035,5;1035,9;700;1035,5;29.11.2018
КАМАЗ БО-4;1650032058;4B02-04-55010-D;19.11.2010;об;ОАО Московская Биржа;7703507076;RU000A0JVZC4;RU000A0JVZC4;1000;RUR;23.11.2020;0;30.11.2015;23.11.2020;30.11.2015;0;0;1014,3000000000001;0;33,15;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1014,3000000000001;0;974;28.11.2018
КраснодКр5;2308040000;RU34005KND0;18.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZE0;RU000A0JVZE0;1000;RUR;27.11.2018;0;01.12.2015;;01.12.2015;1037,5;1037,5;1034,5;4980000000;2,81;4403272;1034,5;1038;1036,8000000000001;9,76;07.09.2016;08.09.2016;EQOB;4800000;4800000;4800000000;1034,5;1034,5;402;1034,5;
ФинАвиа 01;8602258770;4-01-36484-R;15.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZF7;RU000A0JVZF7;1000;RUR;31.07.2022;0;29.12.2015;31.07.2022;15.12.2015;615,9000000000001;0;614;2538493440,0000005;8,59;0;614;616,1;614,6;23,08;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;614;614;1429;613,5;
ФинАвиа 02;8602258770;4-02-36484-R;15.10.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZG5;RU000A0JVZG5;1000;RUR;31.07.2027;0;29.12.2015;31.01.2027;15.12.2015;154,5;0;164,20000000000002;1418195515,5;0;0;164,20000000000002;164,20000000000002;164,20000000000002;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;164,20000000000002;164,20000000000002;3168;150;
ЗенитБО-10;7729405872;4B021003255B;09.07.2013;об;ОАО Московская Биржа;7703507076;RU000A0JVZH3;RU000A0JVZH3;1000;RUR;20.11.2025;0;03.12.2015;20.11.2025;03.12.2015;0;0;0;0;29,23;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;600000;5000000000;0;0;0;849,2;04.12.2017
КонцесВ 01;3460019060;4-01-36487-R-001P;19.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZJ9;RU000A0JVZJ9;1000;RUR;30.11.2030;0;07.12.2015;30.11.2030;04.12.2015;0;0;0;0;106,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;1500000;1500000;1500000000;0;0;0;0;
КубнЭн1P01;2309001660;4B02-01-00063-A-001P;10.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZK7;RU000A0JVZK7;1000;RUR;21.11.2025;0;07.12.2015;21.11.2025;04.12.2015;0;0;0;0;27,46;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3600000;3600000;3600000000;0;0;0;600,3;
РоссетиБО6;7728662669;4B02-06-55385-E;28.04.2014;об;ОАО Московская Биржа;7703507076;RU000A0JVZP6;RU000A0JVZP6;1000;RUR;31.10.2045;0;08.12.2015;31.10.2045;08.12.2015;0;0;0;0;25,94;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;6000000;10000000000;0;0;0;600,3;
СистемБ1P3;7703104630;4B02-03-01669-A-001P;09.12.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZW2;RU000A0JVZW2;1000;RUR;12.03.2018;0;14.12.2015;12.03.2018;14.12.2015;0;0;0;0;29,92;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;0;0;0;
ПочтаРосБ1;7724261610;4B02-01-00005-T;26.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JVZY8;RU000A0JVZY8;1056,64;RUR;06.12.2023;0;16.12.2015;06.12.2023;16.12.2015;0;0;0;0;6,69;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3169920000,0000005;0;0;0;634,3009920000001;
ПКТ 01;7805113497;4-01-03924-J;03.12.2015;об;ОАО Московская Биржа;7703507076;RU000A0JW0S4;RU000A0JW0S4;1000;RUR;09.12.2025;0;22.12.2015;09.12.2025;22.12.2015;1055;0;1055;5275000000;27,99;0;1055;1055;1055;11,75;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;1055;1055;1222;1050;18.12.2020
Агронова01;4811012156;4-01-36490-R;19.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JW118;RU000A0JW118;1000;RUR;17.12.2020;0;24.12.2015;17.12.2020;24.12.2015;1000;0;1002;5000000000;28,11;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;1002;106;1000;27.12.2016
КАМАЗ БО13;1650032058;4-13-55010-D;04.06.2015;об;ОАО Московская Биржа;7703507076;RU000A0JW126;RU000A0JW126;1000;RUR;05.12.2030;0;24.12.2015;05.12.2030;24.12.2015;0;0;0;0;21,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;5000000;5000000;5000000000;0;0;0;0;
АтомэнпБО7;7706664260;4B02-07-55319-E;14.08.2014;об;ОАО Московская Биржа;7703507076;RU000A0JW167;RU000A0JW167;1000;RUR;12.12.2025;0;25.12.2015;12.12.2025;25.12.2015;0;0;1000;0;22,81;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;10000000;10000000000;0;1000;0;600,4;19.06.2020
АтомэнпБО8;7706664260;4B02-08-55319-E;14.08.2014;об;ОАО Московская Биржа;7703507076;RU000A0JW175;RU000A0JW175;1000;RUR;12.12.2025;0;25.12.2015;12.12.2025;25.12.2015;0;0;0;0;22,81;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;10000000;5000000;10000000000;0;0;0;0;18.06.2021
АбсолБO1P1;7736046991;4B020102306B001P;21.12.2015;об;ОАО Московская Биржа;7703507076;RU000A0JW1B8;RU000A0JW1B8;1000;RUR;25.12.2018;0;25.12.2015;25.12.2018;25.12.2015;0;0;0;0;24,33;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;2000000;2000000;2000000000;0;0;0;995;
РВКФинБО01;7703643030;4B02-01-36320-R;05.11.2015;об;ОАО Московская Биржа;7703507076;RU000A0JW1F9;RU000A0JW1F9;1000;RUR;21.12.2020;0;28.12.2015;21.12.2020;28.12.2015;1007;0;1010;3021000000;26,63;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;3000000;3000000;3000000000;0;1010;440;0;28.12.2017
РОСНАНО 7;7728131587;4-07-55477-E;27.05.2014;об;ОАО Московская Биржа;7703507076;RU000A0JW1G7;RU000A0JW1G7;1000;RUR;16.12.2022;0;25.12.2015;16.12.2022;25.12.2015;0;0;1096;0;26,2;0;0;0;0;0;07.09.2016;08.09.2016;EQOB;9000000;9000000;9000000000;0;1096;0;1094;
